      x          y
 -3.4557427  -1.6239881
  -3.4822109  -1.0618243
  -3.1973477  -1.3302606
  -2.9263939  -0.8884057
  -1.9737541  -0.9198156
  -1.9189151  -0.4542355
  -1.9781052  -0.2378872
  -1.0670384  -0.451436 
  -1.4996849  -0.1417166
  -1.1159294   0.464144 
  -0.781221    0.8016596
  -0.5649162   0.2934546
  -0.0050037   1.1213746
   0.1969329   0.8547785
   0.3321719   1.2483002
   0.8792238   1.8912561
   1.0729627   1.8531781
   1.2940016   1.9523057
   1.4121696   1.8967559
   2.0611459   2.7176396
   2.1194811   2.2022322
   2.9184708   2.5712507
   2.3294477   3.3505474
   3.0532795   3.5432877
   3.1210985   3.4236653
   3.5576675   4.0951618
   3.7092212   3.9549787
   3.8422916   4.5025232
   4.7783129   3.7643277
   4.4976173   4.666918 
   4.683564    4.5328549
   5.5428325   4.9349832
   5.2959788   5.3850333
   6.1256565   4.7989586
   6.5558376   5.7666838
   6.4062025   6.0690915
   6.6951968   5.9136599
   7.4498412   6.1221843
   6.9709788   6.5711131
   7.3426909   6.0160765
   7.9904375   6.722859 
   8.3039034   6.492281 
   8.685398    7.2993508
   9.1763368   7.0432869
   9.0756499   7.5261253
   9.2065044   8.1722142
   9.530235    8.1273208
   10.350861   7.595554 
   10.663104   8.3859757
   10.343534   8.3096467
